SearchResults
Search type: State,,,,
California,,,,
Accepted Symbol,Synonym Symbol,Scientific Name,Common Name,FIPS Code
ACMIO,ACLA5,Achillea lanulosa Nutt.,,US06
ACMIO,ACER2,Achillea eradiata Piper,,US06
ACMIO,ACLAT,Achillea lanulosa Nutt. ssp. typica D.D. Keck,,US06
ACMIO,ACAN7,Achillea angustissima Rydb.,,US06
ACMIO,ACMIR,Achillea millefolium L. var. rosea (Desf.) Torr. & A. Gray,,US06
ACMIO,ACLAE,Achillea lanulosa Nutt. var. eradiata (Piper) M. Peck,,US06
ACMIO,ACMIA4,Achillea millefolium L. var. aspleniifolia (Vent.) Farw.,,US06
ACMIO,ACGR5,Achillea gracilis Raf.,,US06
ACMIO,ACOC,Achillea occidentalis (DC.) Raf. ex Rydb.,,US06
ACMIO,ACMIG2,Achillea millefolium L. var. gracilis (Raf.) Raf. ex DC.,,US06
ACMIO,ACMIL3,Achillea millefolium L. var. lanulosa (Nutt.) Piper,,US06
ACMIO,ACLAA3,Achillea lanulosa Nutt. var. arachnoidea Lunell,,US06
ACMIO,ACMIR2,Achillea millefolium L. var. russeolata B. Boivin,,US06
ACMIO,ACMIP5,Achillea millefolium L. ssp. pallidotegula B. Boivin,,US06
ACMIO,ACRO4,Achillea rosea Desf.,,US06
ACMIO,ACMIL,Achillea millefolium L. ssp. lanulosa (Nutt.) Piper,,US06
ACMIO,ACTO3,"Achillea tomentosa Pursh, non L.",,US06
ACMIO,ACMIO2,Achillea millefolium L. ssp. occidentalis (DC.) Hyl.,,US06
ACMIP,,Achillea millefolium L. var. pacifica (Rydb.) G.N. Jones,Pacific yarrow,US06
ACMIP,ACPA5,Achillea pacifica Rydb.,,US06
ACMIP2,ACPU2,Achillea puberula Rydb.,,US06
ACMIP2,,Achillea millefolium L. var. puberula (Rydb.) Nobs,common yarrow,US06
ACHLY,,Achlys DC.,achlys,US06
ACCA6,,Achlys californica I. Fukuda & H.G. Baker,deer's foot,US06
ACTR,ACTRT,Achlys triphylla (Sm.) DC. ssp. triphylla,,US06
ACTR,,Achlys triphylla (Sm.) DC.,sweet after death,US06
ACHNA,,Achnatherum P. Beauv.,needlegrass,US06
ACBL,,Achnatherum ×bloomeri (Bol.) Barkworth [hymenoides × occidentale],,US06
ACBL,STBL5,Stiporyzopsis bloomeri (Bol.) B.L. Johnson,,US06
ACBL,ORBL,Oryzopsis bloomeri (Bol.) Ricker,,US06
ACBL,STBL4,Stipa bloomeri Bol.,,US06
ACAR14,,Achnatherum aridum (M.E. Jones) Barkworth,Mormon needlegrass,US06
ACAR14,STAR2,Stipa arida M.E. Jones,,US06
ACBR5,NABR2,Nassella brachychaeta (Godr.) Barkworth,,US06
ACBR5,STBR3,Stipa brachychaeta Godr.,,US06
ACBR5,,Achnatherum brachychaetum (Godr.) Barkworth,shortbristled needlegrass,US06
ACCA34,STCA25,Stipa capensis Thunb.,,US06
ACCA34,,Achnatherum capense (Thunb.) P. Beauv.,Cape ricegrass,US06
ACCA34,STTO8,Stipa tortilis Desf.,,US06
ACCO21,STCO5,Stipa coronata Thurb.,,US06
ACCO21,,Achnatherum coronatum (Thurb.) Barkworth,giant ricegrass,US06
ACDI10,,Achnatherum diegoense (Swallen) Barkworth,San Diego needlegrass,US06
ACDI10,STDI,Stipa diegoensis Swallen,,US06
ACHY,STHY6,Stipa hymenoides Roem. & Schult.,,US06
ACHY,ORHY,Oryzopsis hymenoides (Roem. & Schult.) Ricker ex Piper,,US06
ACHY,,Achnatherum hymenoides (Roem. & Schult.) Barkworth,Indian ricegrass,US06
ACHY,ERCU9,Eriocoma cuspidata Nutt.,,US06
ACLA8,STLA2,Stipa latiglumis Swallen,,US06
ACLA8,,Achnatherum latiglume (Swallen) Barkworth,Sierra needlegrass,US06
ACLE8,,Achnatherum lemmonii (Vasey) Barkworth,Lemmon's needlegrass,US06
ACLEL,STLEL,Stipa lemmonii (Vasey) Scribn. var. lemmonii,,US06
ACLEL,,Achnatherum lemmonii (Vasey) Barkworth var. lemmonii,Lemmon's needlegrass,US06
ACLEL,ACLEL2,Achnatherum lemmonii (Vasey) Barkworth ssp. lemmonii,,US06
ACLEL,STLE2,Stipa lemmonii (Vasey) Scribn.,,US06
ACLEL,STLEJ,Stipa lemmonii (Vasey) Scribn. var. jonesii Scribn.,,US06
ACLEP,,Achnatherum lemmonii (Vasey) Barkworth var. pubescens (Crampton) Barkworth,pubescent Lemmon's needlegrass,US06
